"name","Fluorophore","Antigen","Type","Detector","Negative","UV1-A","UV2-A","UV3-A","UV4-A","UV5-A","UV6-A","UV7-A","UV8-A","UV9-A","UV10-A","UV11-A","UV12-A","UV13-A","UV14-A","UV15-A","UV16-A","V1-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","B1-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","B10-A","B11-A","B12-A","B13-A","B14-A","YG1-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A","YG10-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A"
"DTR_2023_ILT_00-Reference Group-DR_CD3 Spark Blue 550 (Beads).1237109.fcs","Spark Blue 550","CD3","Beads","B3","BeadUnstained",0,0,0,0,0.001,0.001,0.006,0.035,0.028,0.009,0.003,0.002,0.001,0.001,0,0,0,0.001,0.001,0.002,0.009,0.086,0.312,0.178,0.11,0.095,0.035,0.016,0.012,0.01,0.007,0.003,0.052,0.376,1,0.393,0.276,0.166,0.085,0.057,0.052,0.03,0.02,0.017,0.012,0.012,0.012,0.008,0.005,0.002,0.002,0.002,0.001,0.001,0,0,0,0,0,0,0,0,0,0
"DTR_2023_ILT_00-Reference Group-DR_CD38 APC-Fire 810 (Beads).1237110.fcs","APC-Fire 810","CD38","Beads","R8","BeadUnstained",0,0,0,0,0,0,0.001,0.001,0.001,0,0.004,0.002,0.002,0.003,0.021,0.093,0,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.001,0.002,0.012,0.006,0.006,0.006,0.063,0.202,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.006,0.035,0.001,0.001,0.003,0.032,0.021,0.016,0.021,0.012,0.074,0.298,0.063,0.061,0.052,0.043,0.037,0.051,0.372,1
"DTR_2023_ILT_00-Reference Group-DR_CD4 BUV805 (Beads).1237111.fcs","BUV805","CD4","Beads","UV16","BeadUnstained",0.014,0.063,0.052,0.044,0.043,0.047,0.032,0.013,0.009,0.004,0.002,0.001,0.002,0.027,0.412,1,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.001,0,0,0.003,0.046,0.082,0.001,0.001,0.002,0.002,0.002,0.002,0.001,0,0.001,0,0,0.002,0.01,0.034,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.013,0.03,0,0,0.001,0.001,0.003,0.014,0.126,0.191
"DTR_2023_ILT_00-Reference Group-DR_CD45RA BV510 (Beads).1237112.fcs","BV510","CD45RA","Beads","V7","BeadUnstained",0,0,0,0.002,0.013,0.07,0.391,0.339,0.281,0.103,0.039,0.019,0.013,0.013,0.008,0.005,0.002,0.028,0.115,0.259,0.701,0.729,1,0.673,0.425,0.413,0.155,0.07,0.051,0.037,0.026,0.012,0.003,0.002,0.003,0.002,0.001,0.001,0.001,0,0.001,0,0,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTR_2023_ILT_00-Reference Group-DR_CD56 BV605 (Beads).1237113.fcs","BV605","CD56","Beads","V10","BeadUnstained",0,0,0.002,0.002,0.002,0.002,0.002,0.001,0.081,0.204,0.105,0.043,0.034,0.031,0.019,0.012,0.053,0.056,0.051,0.022,0.01,0.006,0.006,0.171,0.775,1,0.511,0.204,0.159,0.111,0.072,0.031,0,0,0.001,0.007,0.042,0.044,0.031,0.02,0.016,0.009,0.006,0.005,0.003,0.003,0.069,0.362,0.405,0.252,0.156,0.104,0.123,0.05,0.032,0.017,0.001,0.001,0.001,0.001,0.001,0,0,0
"DTR_2023_ILT_00-Reference Group-DR_CD62L BUV395 (Beads).1237114.fcs","BUV395","CD62L","Beads","UV2","BeadUnstained",0.258,1,0.494,0.36,0.325,0.315,0.177,0.056,0.022,0.004,0.001,0.001,0,0.001,0,0,0.002,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0,0,0,0,0,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTR_2023_ILT_00-Reference Group-DR_CD69 BUV563 (Beads).1237115.fcs","BUV563","CD69","Beads","UV9","BeadUnstained",0.007,0.029,0.023,0.02,0.019,0.02,0.017,0.327,1,0.264,0.062,0.025,0.015,0.011,0.007,0.004,0,0.001,0.001,0.001,0.001,0.002,0.027,0.073,0.035,0.033,0.008,0.003,0.002,0.001,0.001,0,0,0.006,0.109,0.218,0.118,0.076,0.025,0.015,0.012,0.006,0.003,0.002,0.001,0.001,0.488,0.246,0.146,0.044,0.026,0.019,0.017,0.006,0.004,0.002,0,0,0,0,0,0,0,0
"DTR_2023_ILT_00-Reference Group-DR_CD7 BV711 (Beads).1237116.fcs","BV711","CD7","Beads","V13","BeadUnstained",0,0,0.003,0.002,0.003,0.002,0.002,0.001,0.001,0,0.004,0.053,0.158,0.137,0.1,0.064,0.072,0.075,0.069,0.029,0.013,0.008,0.007,0.003,0.002,0.002,0.022,0.319,1,0.632,0.504,0.214,0,0,0,0,0,0,0.001,0.004,0.034,0.06,0.039,0.027,0.022,0.022,0,0,0,0.001,0.007,0.039,0.143,0.055,0.043,0.024,0.003,0.027,0.181,0.317,0.231,0.137,0.152,0.07
"DTR_2023_ILT_00-Reference Group-DR_CD8 BUV496 (Beads).1237117.fcs","BUV496","CD8","Beads","UV7","BeadUnstained",0.009,0.039,0.032,0.027,0.036,0.187,1,0.534,0.256,0.065,0.017,0.007,0.004,0.004,0.002,0.001,0.001,0.002,0.012,0.066,0.216,0.164,0.17,0.069,0.036,0.029,0.008,0.003,0.002,0.001,0.001,0,0.068,0.043,0.034,0.01,0.006,0.003,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTR_2023_ILT_00-Reference Group-DR_CXCR3 BUV737 (Beads).1237118.fcs","BUV737","CXCR3","Beads","UV14","BeadUnstained",0.006,0.024,0.02,0.017,0.016,0.018,0.013,0.005,0.002,0.001,0.002,0.034,0.419,1,0.508,0.396,0,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.006,0.094,0.169,0.093,0.048,0,0,0.001,0.001,0.001,0,0,0.001,0.017,0.115,0.221,0.179,0.097,0.121,0,0,0,0,0.001,0.004,0.047,0.052,0.029,0.018,0.001,0.005,0.046,0.262,0.554,0.357,0.275,0.161
"DTR_2023_ILT_00-Reference Group-DR_Dump_CD14 Pacific Blue (Beads).1237119.fcs","Pacific Blue","Dump_CD14","Beads","V3","BeadUnstained",0,0,0.002,0.011,0.024,0.033,0.027,0.01,0.004,0.001,0,0,0,0,0,0,0.096,0.68,1,0.657,0.331,0.181,0.15,0.048,0.023,0.018,0.005,0.002,0.001,0.001,0.001,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTR_2023_ILT_00-Reference Group-DR_IFNg BV750 (Beads).1237121.fcs","BV750","IFNg","Beads","V14","BeadUnstained",0,0,0.002,0.001,0.002,0.002,0.002,0.001,0.001,0,0,0.001,0.026,0.197,0.163,0.094,0.05,0.052,0.048,0.021,0.01,0.007,0.007,0.004,0.003,0.003,0.002,0.008,0.198,1,0.893,0.347,0,0,0.001,0,0,0,0,0,0.001,0.006,0.025,0.046,0.03,0.029,0,0,0,0,0,0,0.006,0.022,0.02,0.009,0,0,0.002,0.014,0.062,0.091,0.079,0.035
"DTR_2023_ILT_00-Reference Group-DR_NKG2D PE (Beads).1237122.fcs","PE","NKG2D","Beads","YG1","BeadUnstained",0,0,0,0,0,0,0,0.001,0.054,0.013,0.003,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0.003,0.147,0.056,0.05,0.013,0.005,0.003,0.002,0.001,0,0.001,0.001,0.014,0.56,0.258,0.15,0.052,0.031,0.028,0.013,0.007,0.005,0.003,0.003,1,0.434,0.232,0.074,0.043,0.033,0.03,0.009,0.006,0.003,0,0,0,0,0,0,0,0
"DTR_2023_ILT_00-Reference Group-DR_PD1 PE-Vio770 (Beads).1237123.fcs","PE-Vio 770","PD1","Beads","YG9","BeadUnstained",0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.01,0.045,0.032,0,0,0,0,0,0,0.001,0.002,0.001,0.001,0,0,0.001,0.026,0.13,0.061,0.001,0.001,0.002,0.011,0.007,0.004,0.001,0.001,0.001,0.003,0.027,0.213,0.534,0.509,0.02,0.009,0.006,0.002,0.001,0.001,0.013,0.209,1,0.629,0,0,0,0.001,0.005,0.033,0.1,0.047
"DTR_2023_ILT_00-Reference Group-DR_TNFa PE-Dazzle594 (Beads).1237124.fcs","PE-Dazzle 594","TNFa","Beads","YG3","BeadUnstained",0,0,0,0,0,0,0,0,0.011,0.042,0.014,0.008,0.004,0.004,0.002,0.001,0,0,0,0,0,0.001,0.001,0.021,0.062,0.178,0.049,0.025,0.014,0.009,0.006,0.002,0.002,0.001,0.004,0.088,0.244,0.587,0.219,0.173,0.149,0.063,0.037,0.031,0.019,0.016,0.185,0.411,1,0.374,0.287,0.215,0.179,0.067,0.046,0.019,0.001,0.001,0.001,0.001,0,0,0,0
"DTR_2023_ILT_00-Reference Group-DR_Va24Ja18 FITC (Beads).1237125.fcs","FITC","Va24Ja18","Beads","B2","BeadUnstained",0,0,0,0,0,0,0.03,0.026,0.014,0.003,0.001,0.001,0,0,0,0,0,0,0.001,0.001,0.034,0.059,0.062,0.028,0.014,0.012,0.003,0.001,0.001,0.001,0.001,0,0.894,1,0.753,0.213,0.116,0.062,0.021,0.013,0.011,0.005,0.003,0.002,0.002,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTR_2023_ILT_00-Reference Group-DR_Va7.2 Alexa Fluor 647 (Beads).1237126.fcs","Alexa Fluor 647","Va7.2","Beads","R2","BeadUnstained",0,0,0,0,0,0,0,0,0,0,0.004,0.004,0.002,0.002,0.001,0.001,0,0,0,0,0.001,0.001,0.001,0.001,0,0,0.006,0.005,0.003,0.002,0.001,0.001,0,0,0,0,0,0,0.006,0.008,0.006,0.003,0.002,0.002,0.001,0.001,0.001,0,0.001,0.12,0.161,0.105,0.09,0.043,0.024,0.011,0.519,1,0.732,0.427,0.362,0.227,0.174,0.076
"DTR_2023_ILT_00-Reference Group-DR_VD2 BUV661 (Beads).1237127.fcs","BUV661","VD2","Beads","UV11","BeadUnstained",0.005,0.023,0.019,0.016,0.016,0.018,0.013,0.005,0.003,0.046,1,0.464,0.358,0.298,0.16,0.097,0,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.002,0.017,0.293,0.132,0.102,0.065,0.038,0.015,0,0.001,0.001,0.001,0.001,0.002,0.044,0.032,0.026,0.015,0.01,0.007,0.004,0.004,0.001,0.002,0.015,0.531,0.37,0.25,0.292,0.107,0.063,0.031,0.808,0.844,0.636,0.454,0.327,0.18,0.149,0.068
